TSI;Sensirion;RMSE;MAE
123.94;-119.7714;95.30234126499015;56.589555569345336
124.65;-120.4286;95.30234126499015;56.589555569345336
124.01;-120.2286;95.30234126499015;56.589555569345336
125.04;-120.8571;95.30234126499015;56.589555569345336
124.99;-121.0;95.30234126499015;56.589555569345336
124.91;-120.9429;95.30234126499015;56.589555569345336
124.95;-120.6286;95.30234126499015;56.589555569345336
125.55;-121.6286;95.30234126499015;56.589555569345336
124.91;-120.7429;95.30234126499015;56.589555569345336
125.6;-121.9429;95.30234126499015;56.589555569345336
125.77;-121.4286;95.30234126499015;56.589555569345336
125.75;-122.6571;95.30234126499015;56.589555569345336
125.97;-122.3714;95.30234126499015;56.589555569345336
126.2;-123.1714;95.30234126499015;56.589555569345336
126.9;-122.4857;95.30234126499015;56.589555569345336
126.64;-122.5429;95.30234126499015;56.589555569345336
126.87;-122.0571;95.30234126499015;56.589555569345336
127.39;-123.7714;95.30234126499015;56.589555569345336
126.91;-123.0286;95.30234126499015;56.589555569345336
127.5;-124.0571;95.30234126499015;56.589555569345336
128.22;-123.8857;95.30234126499015;56.589555569345336
128.67;-123.8857;95.30234126499015;56.589555569345336
128.97;-125.5429;95.30234126499015;56.589555569345336
128.16;-125.2857;95.30234126499015;56.589555569345336
127.82;-125.9429;95.30234126499015;56.589555569345336
127.59;-125.5143;95.30234126499015;56.589555569345336
128.29;-124.5429;95.30234126499015;56.589555569345336
129.42;-124.5143;95.30234126499015;56.589555569345336
129.58;-125.0286;95.30234126499015;56.589555569345336
129.69;-125.3714;95.30234126499015;56.589555569345336
129.33;-124.2;95.30234126499015;56.589555569345336
129.2;-124.7714;95.30234126499015;56.589555569345336
129.13;-123.7143;95.30234126499015;56.589555569345336
129.51;-125.6;95.30234126499015;56.589555569345336
129.71;-125.6571;95.30234126499015;56.589555569345336
130.11;-126.8286;95.30234126499015;56.589555569345336
130.9;-127.6857;95.30234126499015;56.589555569345336
131.09;-127.2857;95.30234126499015;56.589555569345336
131.38;-127.9143;95.30234126499015;56.589555569345336
131.14;-127.8286;95.30234126499015;56.589555569345336
131.24;-127.5429;95.30234126499015;56.589555569345336
131.48;-126.9429;95.30234126499015;56.589555569345336
131.61;-127.2571;95.30234126499015;56.589555569345336
131.55;-128.5714;95.30234126499015;56.589555569345336
131.83;-128.0;95.30234126499015;56.589555569345336
132.09;-128.8857;95.30234126499015;56.589555569345336
132.39;-128.8571;95.30234126499015;56.589555569345336
131.61;-127.8286;95.30234126499015;56.589555569345336
131.48;-128.1429;95.30234126499015;56.589555569345336
132.58;-127.8286;95.30234126499015;56.589555569345336
132.76;-128.1714;95.30234126499015;56.589555569345336
133.74;-128.5143;95.30234126499015;56.589555569345336
133.5;-128.6857;95.30234126499015;56.589555569345336
132.51;-129.3429;95.30234126499015;56.589555569345336
133.2;-128.3429;95.30234126499015;56.589555569345336
134.17;-128.8571;95.30234126499015;56.589555569345336
133.67;-129.0857;95.30234126499015;56.589555569345336
133.87;-127.3429;95.30234126499015;56.589555569345336
133.65;-129.3143;95.30234126499015;56.589555569345336
133.33;-129.6571;95.30234126499015;56.589555569345336
133.79;-130.2286;95.30234126499015;56.589555569345336
133.22;-128.7143;95.30234126499015;56.589555569345336
133.97;-128.6571;95.30234126499015;56.589555569345336
134.2;-128.5714;95.30234126499015;56.589555569345336
133.75;-128.7714;95.30234126499015;56.589555569345336
133.58;-128.5714;95.30234126499015;56.589555569345336
133.03;-130.0286;95.30234126499015;56.589555569345336
133.46;-128.2;95.30234126499015;56.589555569345336
133.34;-128.6857;95.30234126499015;56.589555569345336
133.99;-130.2286;95.30234126499015;56.589555569345336
133.4;-129.3143;95.30234126499015;56.589555569345336
133.0;-128.6;95.30234126499015;56.589555569345336
133.04;-127.4571;95.30234126499015;56.589555569345336
132.09;-126.7429;95.30234126499015;56.589555569345336
132.32;-126.7429;95.30234126499015;56.589555569345336
130.99;-124.2;95.30234126499015;56.589555569345336
130.11;-126.1143;95.30234126499015;56.589555569345336
